company_name,salary_info_reliability,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
(주)메디트,매우높음,3963,4035.75,4133.25,4270.25,4383.25,4507,4646.75,4791.75,4968.25,5156.25,5358.5,5572.5,5793,6020.75,6260.5,6518.5,6799.25,7097,7249.67,8961.5,9117.18
(주)모비루스,보통,3716.5,3789,3887.5,4021,4130.75,4236.75,4352.25,4474.75,4633.75,4813.5,5008.25,5213,5417,5617.25,5815.25,6015.5,6224.5,6446.25,6559.33,8010.75,8143.27
(주)모빌리티네트웍스,낮음,4609,4747,4954.5,5162.5,5392.75,5593,5782.25,5977.25,6205.75,6433.5,6659.5,6888,7119,7354,7597,7850.25,8111.5,8370.5,8504.67,9599.25,9697.64
(주)모빌린트,낮음,4382.75,4463.75,4581.75,4767,4958,5196.5,5489.25,5819,6195,6560.25,6881.25,7130,7298.5,7412,7507,7622.25,7793,8031,8160,9677.83,9817.18
(주)뮤즈블라썸,낮음,3177.5,3236.5,3316.5,3429.25,3525.5,3630,3739.25,3830.25,3922.25,4008.75,4109.75,4251.5,4443.25,4676,4924.5,5167.75,5386,5577.25,5669.67,6862.67,6971.27
(주)미디어로그,높음,4012.5,4077.5,4154.25,4255,4317,4394.25,4508.5,4653.25,4853,5080,5326.5,5584.25,5847.75,6106.75,6351.5,6591.75,6839,7109.25,7246.33,8954.25,9110.73
(주)바로팜,보통,3673.5,3745.5,3855.25,4032.5,4223.25,4436.75,4641.25,4803.5,4948,5075.25,5217.75,5388.25,5583.75,5797,6013.5,6228.5,6447,6679.5,6796.33,8062.58,8178.91
(주)버즈니,보통,4203.75,4291.25,4422.25,4616.5,4808.75,5006,5204.25,5378.75,5562,5751.75,5954.75,6171.75,6390.25,6600.75,6804.75,7015.75,7242.25,7487.75,7614.33,9137.92,9277
(주)벙커키즈,낮음,3376.25,3439.75,3527.25,3652.5,3764.25,3885.75,4022,4160.5,4319.5,4482.25,4647.5,4813.75,4976,5134.5,5290.25,5449.25,5618.25,5798,5890.33,7042.33,7147.36
(주)베스텔라랩,보통,3102.75,3153,3219,3318.5,3403.25,3505,3621.25,3734.25,3861.75,3994.25,4139.5,4304,4491,4708.25,4965,5270.25,5634.25,6047.5,6261.33,7286.42,7380
(주)벤디트,매우낮음,3464,3525,3609.5,3734.25,3841,3960.5,4092,4220.5,4369.25,4523.5,4684,4849.75,5017.75,5187.25,5357.5,5532.5,5715.5,5904,6000.67,7073.42,7170.91
(주)뷰런테크놀로지,보통,3369.75,3436.75,3538.25,3692.5,3843.5,3997.5,4148.25,4280,4423.75,4582,4760,4951.5,5143,5327.5,5506,5691,5889.5,6098,6207,7285.17,7382.91
(주)블루텍,매우낮음,3646.25,3718,3823.25,3974.25,4102.75,4229.5,4357,4475,4619,4778.25,4949.75,5132.75,5320.75,5507,5690.5,5877,6072,6274,6378.67,7566.25,7674.09
(주)비글즈,낮음,3116.5,3180.25,3282.75,3450,3634,3841.25,4056,4253.5,4453.5,4653.75,4861.75,5065,5250.25,5420.5,5584.5,5755,5944,6148,6250,7470.83,7582.36
(주)비솔,매우낮음,3682,3754,3852.5,3987.25,4094.75,4196,4293.75,4377.5,4473,4566.25,4668.25,4786.75,4921.75,5067.5,5216.75,5371.25,5538.25,5721.25,5816.67,7080.67,7195.91
(주)비욘드메디슨,낮음,3236.5,3300.25,3390,3518,3633.25,3757.25,3891.75,4024.75,4180.5,4341.25,4507.75,4679,4850,5021.25,5199.25,5390.75,5593.25,5801.75,5909.33,6998.67,7097.45
(주)비욘드테크,높음,3185.5,3246,3330.25,3449.25,3547.5,3644.75,3743.75,3834.75,3945,4063.75,4190,4321.25,4454.5,4592.75,4743.75,4915,5104,5300.75,5402.67,6518.33,6619.45
(주)사이버다임,높음,3534.75,3601,3690,3813.75,3917,4023.25,4139.25,4255,4395.5,4548.5,4716.75,4900.25,5090.75,5283.75,5477.25,5674.5,5878.75,6088.25,6195.67,7481.17,7598
(주)설텍,낮음,3071.5,3126.25,3200.75,3307.75,3393.5,3480.5,3568.25,3644.75,3736.25,3835,3945.25,4067.5,4196.25,4330,4469,4616.5,4772.25,4931.75,5014,6018.67,6109.82
(주)세기알앤디,보통,4926.5,4999.25,5085.75,5208,5283.25,5386.25,5521,5655.75,5813.75,5970,6134,6322.75,6537.75,6771.25,7015.5,7274,7551,7839.5,7990,9773.92,9935.45
(주)센트비,보통,3638.75,3710.25,3811.25,3957.5,4093.5,4243.25,4405.25,4563.25,4744,4930.25,5129.75,5354.75,5602.75,5871.75,6153.25,6432.5,6699.25,6943.5,7065.33,8272.58,8381.45
(주)소테리아,낮음,4658.75,4738.5,4842.25,4992.75,5121.25,5281.75,5482.25,5701.75,5956,6208.25,6453,6688.75,6909,7126,7354,7610.5,7910.75,8233.75,8406,10032.25,10178.73
(주)소프트넷,높음,3835.75,3894.75,3969.5,4085,4186,4324.5,4501,4694,4918.5,5149.25,5378.25,5599,5807.5,6009.25,6215,6435.75,6677.5,6930.75,7062,8397.42,8518.36
(주)쉬모스랩,매우낮음,3464.25,3527.5,3611.5,3727.5,3822.75,3927,4051,4188,4358.25,4542.75,4738.75,4945,5157.5,5374.75,5596.5,5824.5,6060.5,6299.5,6422,7599.25,7705.91
