company_name_s,posting_id,job_category_kor,posting_title_j,posting_tech_stack,education_j,education_s,employment_type,position,company_keywords_jumpit,company_tech_stack,company_type,industry,exp_min,exp_max,edu_category,start_datetime,end_datetime,posting_views_total,applicants_total
(주)유진로봇,51527333,HW/임베디드,자율주행솔루션사업부 PM,Analog;Embedded,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"","연봉상승률 10% 이상;육아휴직;급성장중;장기근속 포상;코스닥;인천1호선 역세권 기업;유연근무제;점심지원;사내 카페;평균연봉 6,000 이상",C#;Google Analytics;C;PLC;PostgreSQL;TypeScript;RDB;NoSql;JavaScript;Network;MySQL;GUI;Embedded;Java;C++;SW;Node.js;WebSocket;SQL;Git;Linux;Analog;ROS;MES;Microsoft Excel,"",산업용 로봇 제조업,10,15,대졸(예정),2025.08.13 00:00,2025.09.11 23:59,208,11
(주)유진로봇,51527393,SW/솔루션,자율주행솔루션사업부 SW(Middleware),C++;ROS;C;GUI,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"","연봉상승률 10% 이상;육아휴직;급성장중;장기근속 포상;코스닥;인천1호선 역세권 기업;유연근무제;점심지원;사내 카페;평균연봉 6,000 이상",C#;Google Analytics;C;PLC;PostgreSQL;TypeScript;RDB;NoSql;JavaScript;Network;MySQL;GUI;Embedded;Java;C++;SW;Node.js;WebSocket;SQL;Git;Linux;Analog;ROS;MES;Microsoft Excel,"",산업용 로봇 제조업,4,15,대졸(예정),2025.08.13 00:00,2025.09.11 23:59,221,11
(주)이너버스,51747587,정보보안 담당자;DevOps/시스템 엔지니어;빅데이터 엔지니어;기술지원,통합보안관리 엔지니어(신입),SW;Linux;Docker;Elasticsearch;Kafka;Python;vmware;Shell,"대학졸업(2,3년) 이상
(졸업예정자 가능)","대졸(2,3년제) 이상(예정자 가능)",정규직,"",스타트업;육아휴직;장기근속 포상;재택근무;프리한 복장;9호선 역세권 기업;유연근무제;사내 카페,Shell;SW;Linux;Docker;Elasticsearch;vmware;Kafka;Python,스타트업;중소기업;주식회사,시스템 소프트웨어 개발 및 공급업,0,0,초대졸(예정),2025.09.04 00:00,2025.10.03 23:59,223,14
(주)제너디어스,51617461,인공지능/머신러닝,멀티모달 프롬프트 엔지니어 경력,AI/인공지능,고등학교졸업 이상,고교졸업 이상,정규직,"","",OAuth2;AI/인공지능;PostgreSQL;GitHub;Recoil;OLAP;Next.js;TypeScript;React Query;TailwindCSS;Zustand;Supabase;Python,중소기업,컴퓨터시스템 통합 자문 및 구축 서비스업,1,10,고졸(예정),2025.08.23 00:00,2025.09.21 23:59,69,5
(주)이너버스,51747616,정보보안 담당자;DevOps/시스템 엔지니어;빅데이터 엔지니어;기술지원,통합보안관리 엔지니어(경력),SW;Linux;Docker;Elasticsearch;Kafka;Python;vmware;Shell,"대학졸업(2,3년) 이상","대졸(2,3년제) 이상",정규직,"",스타트업;육아휴직;장기근속 포상;재택근무;프리한 복장;9호선 역세권 기업;유연근무제;사내 카페,Shell;SW;Linux;Docker;Elasticsearch;vmware;Kafka;Python,스타트업;중소기업;주식회사,시스템 소프트웨어 개발 및 공급업,3,7,초대졸(예정),2025.09.04 00:00,2025.10.03 23:59,49,3
(주)이노버스,51653619,크로스플랫폼 앱개발자,[SW팀] 크로스플랫폼 앱 개발자(Flutter),Flutter;AWS;Git;Firebase,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",급성장중;유연근무제;성과급/상여금,Firebase;Git;Flutter;AWS,중소기업;병역특례 인증업체,그 외 기타 일반목적용 기계 제조업,3,5,대졸(예정),2025.08.26 00:00,2025.09.24 23:59,131,15
(주)이노비즈,51549930,SW/솔루션,반도체비전 S/W 개발 경력 10년이상,SW;VisualC++;C++;MachineLearning,고등학교졸업 이상,고교졸업 이상,정규직,"","매출액 500억 기업;급성장중;매출액 150% 급성장;영업이익 150% 급성장;평균연봉 6,000 이상;영업이익률 20% 이상",C++;SW;Visual C++;MachineLearning,중소기업;주식회사;외부감사법인;병역특례 인증업체;수출입 기업,반도체 제조용 기계 제조업,10,13,고졸(예정),2025.08.13 00:00,2025.09.11 23:59,102,1
(주)이노비즈,51549933,SW/솔루션,반도체비전 S/W 개발 경력 6년이상,SW;VisualC++;C++;MachineLearning,고등학교졸업 이상,고교졸업 이상,정규직,"","매출액 500억 기업;급성장중;매출액 150% 급성장;영업이익 150% 급성장;평균연봉 6,000 이상;영업이익률 20% 이상",C++;SW;Visual C++;MachineLearning,중소기업;주식회사;외부감사법인;병역특례 인증업체;수출입 기업,반도체 제조용 기계 제조업,6,9,고졸(예정),2025.08.13 00:00,2025.09.11 23:59,89,1
(주)이노비즈,51549948,SW/솔루션,반도체비전 S/W 개발 경력 3년이상,SW;VisualC++;C++;MachineLearning,고등학교졸업 이상,고교졸업 이상,정규직,"","매출액 500억 기업;급성장중;매출액 150% 급성장;영업이익 150% 급성장;평균연봉 6,000 이상;영업이익률 20% 이상",C++;SW;Visual C++;MachineLearning,중소기업;주식회사;외부감사법인;병역특례 인증업체;수출입 기업,반도체 제조용 기계 제조업,3,5,고졸(예정),2025.08.13 00:00,2025.09.11 23:59,120,1
(주)이노시뮬레이션,51772938,SW/솔루션,철도용시뮬레이터 SW개발자(경력2-4년),C++;C#;WPF,대학교졸업(4년) 이상,대졸(4년제) 이상,정규직,"",장기근속 포상;패밀리데이;코스닥;유연근무제;점심지원;사내 카페,C#;C++;WPF,중소기업;코스닥;주식회사;외부감사법인;연구소;병역특례 인증업체;수출입 기업,시스템 소프트웨어 개발 및 공급업,2,4,대졸(예정),2025.09.08 00:00,2025.10.07 23:59,54,3
