job_category,job_category_name
1,서버/백엔드 개발자
2,프론트엔드 개발자
3,웹 풀스택 개발자
4,안드로이드 개발자
5,게임 클라이언트 개발자
6,게임 서버 개발자
7,DBA
8,인공지능/머신러닝
9,DevOps/시스템 엔지니어
10,정보보안 담당자
11,QA 엔지니어
12,개발 PM
13,HW/임베디드
15,SW/솔루션
16,iOS 개발자
17,웹퍼블리셔
18,크로스플랫폼 앱개발자
19,빅데이터 엔지니어
20,VR/AR/3D
21,기술지원
22,블록체인
