company_name_j,company_type,industry
인텍에프에이,병역특례 인증업체,그 외 기타 전기장비 제조업
인텍에프에이,수출입 기업,그 외 기타 전기장비 제조업
엠투아이코퍼레이션,1000대기업,산업처리공정 제어장비 제조업
엠투아이코퍼레이션,중소기업,산업처리공정 제어장비 제조업
엠투아이코퍼레이션,코스닥,산업처리공정 제어장비 제조업
엠투아이코퍼레이션,주식회사,산업처리공정 제어장비 제조업
엠투아이코퍼레이션,외부감사법인,산업처리공정 제어장비 제조업
엠투아이코퍼레이션,수출입 기업,산업처리공정 제어장비 제조업
아이코어,중소기업,비디오 및 기타 영상기기 제조업
아이코어,주식회사,비디오 및 기타 영상기기 제조업
아이코어,수출입 기업,비디오 및 기타 영상기기 제조업
설텍,중소기업,에너지 저장장치 제조업
설텍,주식회사,에너지 저장장치 제조업
설텍,연구소,에너지 저장장치 제조업
설텍,병역특례 인증업체,에너지 저장장치 제조업
설텍,수출입 기업,에너지 저장장치 제조업
인엘씨테크놀러지,중소기업,유선 통신장비 제조업
인엘씨테크놀러지,외국인 투자기업,유선 통신장비 제조업
인엘씨테크놀러지,주식회사,유선 통신장비 제조업
인엘씨테크놀러지,외부감사법인,유선 통신장비 제조업
인엘씨테크놀러지,병역특례 인증업체,유선 통신장비 제조업
인엘씨테크놀러지,수출입 기업,유선 통신장비 제조업
혜연전자,중소기업,연성 및 기타 인쇄회로기판 제조업
혜연전자,주식회사,연성 및 기타 인쇄회로기판 제조업
아이디어스투실리콘,중소기업,응용 소프트웨어 개발 및 공급업
에프알텍,"",기타 무선 통신장비 제조업
아세아텍,"",농업 및 임업용 기계 제조업
쏠리드윈텍,중소기업,기타 무선 통신장비 제조업
에스디티,중소기업,전기ㆍ전자공학 연구개발업
에스디티,주식회사,전기ㆍ전자공학 연구개발업
에스디티,병역특례 인증업체,전기ㆍ전자공학 연구개발업
코아비스,"",그 외 자동차용 신품 부품 제조업
오버컴테크,중소기업,산업처리공정 제어장비 제조업
오버컴테크,주식회사,산업처리공정 제어장비 제조업
쿤텍,중소기업,시스템 소프트웨어 개발 및 공급업
쿤텍,주식회사,시스템 소프트웨어 개발 및 공급업
쿤텍,연구소,시스템 소프트웨어 개발 및 공급업
쿤텍,병역특례 인증업체,시스템 소프트웨어 개발 및 공급업
라닉스,중소기업,비메모리용 및 기타 전자집적회로 제조업
라닉스,코스닥,비메모리용 및 기타 전자집적회로 제조업
라닉스,주식회사,비메모리용 및 기타 전자집적회로 제조업
블루텍,중소기업,유선 통신장비 제조업
블루텍,주식회사,유선 통신장비 제조업
캐스트프로,중소기업,기타 무선 통신장비 제조업
캐스트프로,주식회사,기타 무선 통신장비 제조업
캐스트프로,연구소,기타 무선 통신장비 제조업
캐스트프로,수출입 기업,기타 무선 통신장비 제조업
디아이,중견기업,"전자기 측정, 시험 및 분석기구 제조업"
디아이,코스피,"전자기 측정, 시험 및 분석기구 제조업"
디아이,주식회사,"전자기 측정, 시험 및 분석기구 제조업"
디아이,외부감사법인,"전자기 측정, 시험 및 분석기구 제조업"
디아이,수출입 기업,"전자기 측정, 시험 및 분석기구 제조업"
유버,스타트업,""
유버,외국 법인기업,""
유버,주식회사,""
유버,연구소,""
유버,병역특례 인증업체,""
유버,수출입 기업,""
그리드큐어,중소기업,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업"
그리드큐어,주식회사,"그 외 기타 분류 안된 전문, 과학 및 기술 서비스업"
스트라티오코리아,스타트업,컴퓨터시스템 통합 자문 및 구축 서비스업
스트라티오코리아,중소기업,컴퓨터시스템 통합 자문 및 구축 서비스업
스트라티오코리아,주식회사,컴퓨터시스템 통합 자문 및 구축 서비스업
스트라티오코리아,병역특례 인증업체,컴퓨터시스템 통합 자문 및 구축 서비스업
스트라티오코리아,수출입 기업,컴퓨터시스템 통합 자문 및 구축 서비스업
칩스앤미디어,중소기업,비메모리용 및 기타 전자집적회로 제조업
칩스앤미디어,코넥스,비메모리용 및 기타 전자집적회로 제조업
칩스앤미디어,주식회사,비메모리용 및 기타 전자집적회로 제조업
칩스앤미디어,외부감사법인,비메모리용 및 기타 전자집적회로 제조업
칩스앤미디어,연구소,비메모리용 및 기타 전자집적회로 제조업
칩스앤미디어,병역특례 인증업체,비메모리용 및 기타 전자집적회로 제조업
칩스앤미디어,수출입 기업,비메모리용 및 기타 전자집적회로 제조업
금영제너럴,중소기업,승강기 제조업
금영제너럴,외부감사법인,승강기 제조업
금영제너럴,연구소,승강기 제조업
금영제너럴,병역특례 인증업체,승강기 제조업
금영제너럴,수출입 기업,승강기 제조업
하이비젼시스템,중견기업,"사진기, 영사기 및 관련 장비 제조업"
하이비젼시스템,코스닥,"사진기, 영사기 및 관련 장비 제조업"
하이비젼시스템,외부감사법인,"사진기, 영사기 및 관련 장비 제조업"
하이비젼시스템,수출입 기업,"사진기, 영사기 및 관련 장비 제조업"
긴트,중소기업,자동차용 신품 전기장치 제조업
긴트,주식회사,자동차용 신품 전기장치 제조업
긴트,외부감사법인,자동차용 신품 전기장치 제조업
긴트,연구소,자동차용 신품 전기장치 제조업
긴트,병역특례 인증업체,자동차용 신품 전기장치 제조업
긴트,수출입 기업,자동차용 신품 전기장치 제조업
씨브이네트,대기업,내부 통신배선 공사업
씨브이네트,외부감사법인,내부 통신배선 공사업
태하,"",산업용 로봇 제조업
엠트리센,중소기업,경영 컨설팅업
엠트리센,주식회사,경영 컨설팅업
엠트리센,외부감사법인,경영 컨설팅업
엠트리센,수출입 기업,경영 컨설팅업
인터콘시스템스,중소기업,철도차량 부품 및 관련 장치물 제조업
이카루스,"",기계·설비·자동차
