posting_tech_stack_one,job_category_kor_one,require_experience_single_year,exp_min,exp_max,require_experience_role,require_experience_band_kr,posting_start_month_key,posting_start_date_key,posting_count_s,posting_share_s
Java,iOS 개발자,2,1,5,사원,1-3년,2025-08,2025-08-27,1,0.5
CSS3,프론트엔드 개발자,5,3,10,대리,3-5년,2025-08,2025-08-30,1,1
Python,SW/솔루션,9,7,20,과장,5-10년,2025-09,2025-09-01,1,1
SW,기술지원,9,7,20,과장,5-10년,2025-09,2025-09-01,1,1
Vue.js,웹 풀스택 개발자,14,13,15,차장,10년+,2025-08,2025-08-31,1,0.2
Oracle,DBA,17,16,20,부장,10년+,2025-08,2025-08-31,1,1
AWS,서버/백엔드 개발자,2,1,3,사원,1-3년,2025-09,2025-09-01,1,1
Java,기술지원,5,4,6,대리,3-5년,2025-09,2025-09-02,1,1
RESTAPI,QA 엔지니어,7,6,7,과장,5-10년,2025-09,2025-09-02,1,1
MCU,HW/임베디드,7,6,10,과장,5-10년,2025-09,2025-09-03,1,1
Java,서버/백엔드 개발자,10,8,15,과장,5-10년,2025-09,2025-09-04,1,1
TensorFlow,SW/솔루션,12,10,20,과장,10년+,2025-09,2025-09-07,1,0.25
PCB,개발 PM,2,1,3,사원,1-3년,2025-09,2025-09-05,1,0.3333333333333333
AmazonEC2,DevOps/시스템 엔지니어,14,13,15,차장,10년+,2025-09,2025-09-08,1,1
GraphQL,빅데이터 엔지니어,4,2,15,대리,3-5년,2025-09,2025-09-08,1,1
NoSql,서버/백엔드 개발자,5,3,15,대리,3-5년,2025-09,2025-09-09,1,1
CentOS,DevOps/시스템 엔지니어,7,6,8,과장,5-10년,2025-08,2025-08-13,1,1
MySQL,DBA,4,2,10,대리,3-5년,2025-08,2025-08-12,1,1
Slack,서버/백엔드 개발자,9,7,10,과장,5-10년,2025-08,2025-08-11,1,1
Linux,인공지능/머신러닝,3,1,10,사원,1-3년,2025-08,2025-08-12,1,1
RESTAPI,SW/솔루션,5,3,13,대리,3-5년,2025-08,2025-08-16,1,0.3333333333333333
JSP,서버/백엔드 개발자,5,3,15,대리,3-5년,2025-08,2025-08-14,1,1
MongoDB,SW/솔루션,3,2,7,사원,1-3년,2025-08,2025-08-16,1,1
HW,HW/임베디드,7,6,10,과장,5-10년,2025-08,2025-08-18,1,1
C,인공지능/머신러닝,0,0,0,신입,신입,2025-08,2025-08-18,3,1.5
C++,DevOps/시스템 엔지니어,3,1,10,사원,1-3년,2025-08,2025-08-20,1,1
NoSql,웹 풀스택 개발자,4,2,10,대리,3-5년,2025-08,2025-08-19,1,0.3333333333333333
Linux,빅데이터 엔지니어,3,1,10,사원,1-3년,2025-08,2025-08-19,1,1
Git,HW/임베디드,4,2,5,대리,3-5년,2025-09,2025-09-01,1,1
SQL,서버/백엔드 개발자,9,7,15,과장,5-10년,2025-08,2025-08-22,1,1
Qt,SW/솔루션,5,3,10,대리,3-5년,2025-08,2025-08-31,1,1
WindowsServer,DevOps/시스템 엔지니어,0,0,0,신입,신입,2025-08,2025-08-30,1,1
C++,SW/솔루션,5,4,6,대리,3-5년,2025-09,2025-09-02,1,1
Linux,HW/임베디드,0,0,0,신입,신입,2025-09,2025-09-03,2,1.3333333333333333
JavaScript,서버/백엔드 개발자,4,3,5,대리,3-5년,2025-09,2025-09-04,1,1
RESTAPI,DevOps/시스템 엔지니어,6,5,7,대리,5-10년,2025-09,2025-09-04,1,0.5
C++,게임 클라이언트 개발자,4,3,8,대리,3-5년,2025-09,2025-09-04,1,1
Kafka,정보보안 담당자,4,3,7,대리,3-5년,2025-09,2025-09-04,1,0.25
vmware,서버/백엔드 개발자,9,7,20,과장,5-10년,2025-09,2025-09-07,1,0.3333333333333333
PyTorch,인공지능/머신러닝,5,3,6,대리,3-5년,2025-09,2025-09-06,1,1
C++,서버/백엔드 개발자,5,3,10,대리,3-5년,2025-09,2025-09-08,1,1
SW,HW/임베디드,7,5,8,과장,5-10년,2025-09,2025-09-08,1,0.5
HW,HW/임베디드,5,3,9,대리,3-5년,2025-09,2025-09-08,1,1
RESTAPI,프론트엔드 개발자,6,5,7,대리,5-10년,2025-08,2025-08-18,1,0.5
Oracle,SW/솔루션,0,0,0,신입,신입,2025-08,2025-08-13,1,1
AZURE,DevOps/시스템 엔지니어,4,2,5,대리,3-5년,2025-08,2025-08-16,1,1
NLP,인공지능/머신러닝,12,11,15,과장,10년+,2025-08,2025-08-13,1,0.5
Embedded,HW/임베디드,5,3,10,대리,3-5년,2025-08,2025-08-12,2,1.3333333333333333
FW,정보보안 담당자,7,6,8,과장,5-10년,2025-08,2025-08-18,1,1
TensorFlow,SW/솔루션,0,0,0,신입,신입,2025-08,2025-08-16,1,0.5
AWS,서버/백엔드 개발자,4,3,5,대리,3-5년,2025-08,2025-08-18,1,1
Spring,개발 PM,9,8,12,과장,5-10년,2025-08,2025-08-21,1,0.5
Kubernetes,DevOps/시스템 엔지니어,6,5,10,대리,5-10년,2025-08,2025-08-21,1,1
SW,SW/솔루션,5,3,6,대리,3-5년,2025-08,2025-08-30,1,1
Git,서버/백엔드 개발자,3,1,4,사원,1-3년,2025-08,2025-08-21,1,1
SW,SW/솔루션,5,3,10,대리,3-5년,2025-08,2025-08-24,1,0.3333333333333333
MCU,HW/임베디드,6,5,7,대리,5-10년,2025-08,2025-08-24,2,2
C#,SW/솔루션,5,3,18,대리,3-5년,2025-08,2025-08-25,1,1
RLanguage,인공지능/머신러닝,3,1,10,사원,1-3년,2025-08,2025-08-25,1,1
SQL,빅데이터 엔지니어,2,1,5,사원,1-3년,2025-08,2025-08-26,1,1
C++,iOS 개발자,7,5,15,과장,5-10년,2025-08,2025-08-27,1,0.5
Verilog,HW/임베디드,6,5,10,대리,5-10년,2025-08,2025-08-28,1,1
Kubernetes,DevOps/시스템 엔지니어,6,5,10,대리,5-10년,2025-09,2025-09-01,1,1
Oracle,DBA,4,3,4,대리,3-5년,2025-08,2025-08-31,1,1
RESTAPI,SW/솔루션,10,9,11,과장,5-10년,2025-09,2025-09-01,2,2
Jira,웹 풀스택 개발자,5,3,15,대리,3-5년,2025-09,2025-09-01,1,0.5
Infra,기술지원,6,5,10,대리,5-10년,2025-09,2025-09-01,1,0.5
TypeScript,서버/백엔드 개발자,6,4,15,대리,5-10년,2025-09,2025-09-02,2,2
MySQL,서버/백엔드 개발자,0,0,0,신입,신입,2025-09,2025-09-03,2,2
Oracle,프론트엔드 개발자,6,5,10,대리,5-10년,2025-09,2025-09-04,1,1
Python,프론트엔드 개발자,7,5,20,과장,5-10년,2025-09,2025-09-04,1,1
ISMS,정보보안 담당자,5,3,6,대리,3-5년,2025-09,2025-09-04,1,0.5
CSS3,프론트엔드 개발자,4,3,8,대리,3-5년,2025-09,2025-09-05,1,1
Node.js,서버/백엔드 개발자,11,10,15,과장,10년+,2025-09,2025-09-06,1,1
C++,정보보안 담당자,7,5,12,과장,5-10년,2025-09,2025-09-08,1,0.3333333333333333
SW,SW/솔루션,4,2,5,대리,3-5년,2025-09,2025-09-09,1,0.5
ReactNative,빅데이터 엔지니어,5,3,15,대리,3-5년,2025-09,2025-09-08,1,1
MicrosoftTeams,SW/솔루션,5,3,20,대리,3-5년,2025-09,2025-09-09,1,0.5
PyTorch,인공지능/머신러닝,5,3,20,대리,3-5년,2025-09,2025-09-09,1,1
Next.js,프론트엔드 개발자,4,3,5,대리,3-5년,2025-08,2025-08-12,1,1
RESTAPI,서버/백엔드 개발자,9,7,10,과장,5-10년,2025-08,2025-08-11,1,1
TensorFlow,SW/솔루션,7,5,20,과장,5-10년,2025-08,2025-08-14,1,1
C++,기술지원,9,7,20,과장,5-10년,2025-08,2025-08-14,1,1
Node.js,인공지능/머신러닝,4,2,5,대리,3-5년,2025-08,2025-08-24,1,1
iOS,iOS 개발자,7,6,10,과장,5-10년,2025-08,2025-08-16,1,1
Swift,iOS 개발자,11,10,14,과장,10년+,2025-08,2025-08-18,1,0.5
ISMS,정보보안 담당자,7,6,8,과장,5-10년,2025-08,2025-08-18,1,1
C++,SW/솔루션,3,1,7,사원,1-3년,2025-08,2025-08-16,1,1
Git,프론트엔드 개발자,12,11,15,과장,10년+,2025-08,2025-08-18,1,1
TypeScript,프론트엔드 개발자,7,5,20,과장,5-10년,2025-08,2025-08-18,1,1
PostgreSQL,DevOps/시스템 엔지니어,7,5,12,과장,5-10년,2025-08,2025-08-18,1,1
Git,서버/백엔드 개발자,6,4,13,대리,5-10년,2025-08,2025-08-18,1,0.5
C++,인공지능/머신러닝,3,1,10,사원,1-3년,2025-08,2025-08-18,3,1.5
TensorFlow,인공지능/머신러닝,5,3,20,대리,3-5년,2025-08,2025-08-19,1,1
AI/인공지능,인공지능/머신러닝,0,0,0,신입,신입,2025-08,2025-08-21,1,1
AZURE,인공지능/머신러닝,0,0,0,신입,신입,2025-08,2025-08-22,1,1
Confluence,서버/백엔드 개발자,3,1,4,사원,1-3년,2025-08,2025-08-21,1,1
Oracle,SW/솔루션,0,0,0,신입,신입,2025-08,2025-08-22,1,0.2
SW,HW/임베디드,0,0,0,신입,신입,2025-08,2025-08-26,1,1
RTOS,HW/임베디드,0,0,0,신입,신입,2025-08,2025-08-26,1,1
Python,서버/백엔드 개발자,4,2,5,대리,3-5년,2025-08,2025-08-26,1,1
Java,인공지능/머신러닝,5,3,6,대리,3-5년,2025-08,2025-08-27,1,1
Jira,QA 엔지니어,2,1,3,사원,1-3년,2025-08,2025-08-28,1,1
Pulumi,DevOps/시스템 엔지니어,12,11,15,과장,10년+,2025-09,2025-09-01,2,1.5
AI/인공지능,SW/솔루션,4,2,10,대리,3-5년,2025-08,2025-08-31,2,0.6666666666666666
DB,기술지원,0,0,0,신입,신입,2025-09,2025-09-01,1,0.5
DB,정보보안 담당자,5,3,20,대리,3-5년,2025-09,2025-09-01,1,1
Cisco,SW/솔루션,7,6,8,과장,5-10년,2025-09,2025-09-01,1,1
React,서버/백엔드 개발자,5,3,15,대리,3-5년,2025-09,2025-09-01,1,1
SMPS,HW/임베디드,4,2,5,대리,3-5년,2025-09,2025-09-02,1,1
C++,SW/솔루션,9,8,10,과장,5-10년,2025-09,2025-09-03,2,2
GitHubActions,프론트엔드 개발자,6,4,20,대리,5-10년,2025-09,2025-09-03,1,1
MSSQL,SW/솔루션,2,1,3,사원,1-3년,2025-09,2025-09-04,1,0.3333333333333333
MongoDB,서버/백엔드 개발자,10,8,20,과장,5-10년,2025-09,2025-09-04,1,1
RESTAPI,DevOps/시스템 엔지니어,6,5,10,대리,5-10년,2025-09,2025-09-04,1,1
Backendless,DevOps/시스템 엔지니어,5,3,10,대리,3-5년,2025-09,2025-09-06,1,0.25
Pandas,빅데이터 엔지니어,4,2,15,대리,3-5년,2025-09,2025-09-08,1,1
MSA,서버/백엔드 개발자,7,5,8,과장,5-10년,2025-09,2025-09-09,1,1
C++,HW/임베디드,5,3,15,대리,3-5년,2025-09,2025-09-06,1,1
PCB,HW/임베디드,3,1,20,사원,1-3년,2025-08,2025-08-11,1,0.5
JavaScript,기술지원,4,2,10,대리,3-5년,2025-08,2025-08-11,1,1
C,서버/백엔드 개발자,6,5,10,대리,5-10년,2025-08,2025-08-17,1,0.5
AWS,DBA,6,4,10,대리,5-10년,2025-08,2025-08-18,1,1
JavaScript,크로스플랫폼 앱개발자,5,3,6,대리,3-5년,2025-08,2025-08-16,1,1
C++,서버/백엔드 개발자,7,5,15,과장,5-10년,2025-08,2025-08-14,1,1
React,개발 PM,11,10,15,과장,10년+,2025-08,2025-08-19,1,0.5
OpenCV,HW/임베디드,16,15,20,부장,10년+,2025-08,2025-08-19,1,0.5
Java,SW/솔루션,2,1,5,사원,1-3년,2025-08,2025-08-20,1,0.5
Python,DevOps/시스템 엔지니어,6,5,10,대리,5-10년,2025-08,2025-08-21,1,1
Python,프론트엔드 개발자,5,3,20,대리,3-5년,2025-08,2025-08-24,1,1
Yocto,SW/솔루션,9,7,10,과장,5-10년,2025-08,2025-08-27,1,1
C,SW/솔루션,5,3,6,대리,3-5년,2025-08,2025-08-27,1,1
C++,SW/솔루션,5,3,6,대리,3-5년,2025-08,2025-08-27,1,1
PHP,프론트엔드 개발자,8,7,9,과장,5-10년,2025-08,2025-08-28,1,1
Objective-C,iOS 개발자,7,5,20,과장,5-10년,2025-09,2025-09-01,1,0.5
SW,SW/솔루션,6,5,9,대리,5-10년,2025-09,2025-09-02,1,1
RESTAPI,QA 엔지니어,9,8,9,과장,5-10년,2025-09,2025-09-02,1,1
Embedded,HW/임베디드,7,6,10,과장,5-10년,2025-09,2025-09-03,1,1
C++,SW/솔루션,6,5,7,대리,5-10년,2025-09,2025-09-04,1,1
WebSocket,서버/백엔드 개발자,9,7,10,과장,5-10년,2025-09,2025-09-05,1,1
Jenkins,프론트엔드 개발자,11,10,15,과장,10년+,2025-09,2025-09-07,1,1
CSS3,프론트엔드 개발자,4,2,10,대리,3-5년,2025-09,2025-09-06,1,1
Qt,SW/솔루션,5,3,12,대리,3-5년,2025-09,2025-09-08,1,0.3333333333333333
SQL,빅데이터 엔지니어,7,5,20,과장,5-10년,2025-09,2025-09-08,1,1
AWS,서버/백엔드 개발자,3,2,6,사원,1-3년,2025-08,2025-08-11,1,1
GitHub,프론트엔드 개발자,6,5,10,대리,5-10년,2025-08,2025-08-11,1,1
Java,SW/솔루션,5,3,13,대리,3-5년,2025-08,2025-08-16,1,0.3333333333333333
TensorFlow,SW/솔루션,3,2,7,사원,1-3년,2025-08,2025-08-16,1,1
React,웹 풀스택 개발자,3,1,10,사원,1-3년,2025-08,2025-08-19,1,0.3333333333333333
SpringBatch,서버/백엔드 개발자,7,5,12,과장,5-10년,2025-08,2025-08-18,1,1
Kubernetes,서버/백엔드 개발자,6,4,13,대리,5-10년,2025-08,2025-08-18,1,0.5
Confluence,서버/백엔드 개발자,6,4,10,대리,5-10년,2025-08,2025-08-18,1,0.5
Java,인공지능/머신러닝,5,3,20,대리,3-5년,2025-08,2025-08-19,1,1
Refactor.io,서버/백엔드 개발자,7,6,8,과장,5-10년,2025-08,2025-08-25,1,0.5
AWS,DBA,7,5,15,과장,5-10년,2025-08,2025-08-23,1,1
jQuery,프론트엔드 개발자,5,3,20,대리,3-5년,2025-08,2025-08-24,1,1
Linux,인공지능/머신러닝,0,0,0,신입,신입,2025-08,2025-08-26,1,1
JavaScript,인공지능/머신러닝,0,0,0,신입,신입,2025-08,2025-08-27,1,1
Shell,DevOps/시스템 엔지니어,17,16,20,부장,10년+,2025-09,2025-09-01,2,1.5
GitHub,프론트엔드 개발자,4,3,7,대리,3-5년,2025-09,2025-09-01,1,1
Nuxt.js,프론트엔드 개발자,14,13,15,차장,10년+,2025-09,2025-09-01,1,1
notion.so,개발 PM,9,7,10,과장,5-10년,2025-08,2025-08-31,1,0.5
Vulkan,빅데이터 엔지니어,6,4,15,대리,5-10년,2025-09,2025-09-01,1,0.5
PyTorch,SW/솔루션,2,1,6,사원,1-3년,2025-09,2025-09-01,1,0.5
CSS3,프론트엔드 개발자,3,1,10,사원,1-3년,2025-09,2025-09-01,1,1
HW,기술지원,5,3,6,대리,3-5년,2025-09,2025-09-01,1,0.5
MySQL,DBA,9,8,12,과장,5-10년,2025-09,2025-09-03,1,0.5
iOS,QA 엔지니어,7,6,7,과장,5-10년,2025-09,2025-09-02,1,1
SW,HW/임베디드,7,6,10,과장,5-10년,2025-09,2025-09-03,1,1
Jira,서버/백엔드 개발자,10,8,15,과장,5-10년,2025-09,2025-09-04,1,1
Django,서버/백엔드 개발자,4,2,10,대리,3-5년,2025-09,2025-09-04,1,0.5
React,서버/백엔드 개발자,4,3,5,대리,3-5년,2025-09,2025-09-04,1,1
RDB,웹 풀스택 개발자,6,5,9,대리,5-10년,2025-09,2025-09-04,1,0.5
C,SW/솔루션,0,0,0,신입,신입,2025-09,2025-09-07,2,2
Git,서버/백엔드 개발자,4,2,5,대리,3-5년,2025-09,2025-09-08,1,1
FPGA,HW/임베디드,7,6,10,과장,5-10년,2025-09,2025-09-08,1,1
DeepLearning,인공지능/머신러닝,11,10,15,과장,10년+,2025-09,2025-09-09,1,1
Rails,서버/백엔드 개발자,6,5,10,대리,5-10년,2025-09,2025-09-06,1,1
OpenCV,SW/솔루션,7,6,10,과장,5-10년,2025-09,2025-09-09,2,1.5
VHDL,HW/임베디드,4,2,5,대리,3-5년,2025-08,2025-08-14,1,1
Node.js,서버/백엔드 개발자,4,3,7,대리,3-5년,2025-08,2025-08-11,1,1
TensorFlow,인공지능/머신러닝,3,1,10,사원,1-3년,2025-08,2025-08-12,2,2
Python,SW/솔루션,2,1,5,사원,1-3년,2025-08,2025-08-16,2,2
MySQL,DBA,11,10,14,과장,10년+,2025-08,2025-08-18,1,1
Network,정보보안 담당자,4,3,5,대리,3-5년,2025-08,2025-08-18,1,1
Node.js,서버/백엔드 개발자,5,3,10,대리,3-5년,2025-08,2025-08-16,1,1
PostgreSQL,SW/솔루션,3,2,7,사원,1-3년,2025-08,2025-08-16,1,1
Verilog,HW/임베디드,4,2,15,대리,3-5년,2025-09,2025-09-04,5,5
RESTAPI,서버/백엔드 개발자,7,5,20,과장,5-10년,2025-08,2025-08-18,2,2
SQL,SW/솔루션,13,11,14,차장,10년+,2025-08,2025-08-19,1,1
DB,서버/백엔드 개발자,8,6,9,과장,5-10년,2025-08,2025-08-18,1,1
SQL,SW/솔루션,7,5,14,과장,5-10년,2025-08,2025-08-19,1,0.3333333333333333
MachineLearning,서버/백엔드 개발자,4,3,7,대리,3-5년,2025-08,2025-08-20,1,1
EmbeddedLinux,HW/임베디드,4,2,5,대리,3-5년,2025-09,2025-09-01,1,1
AZURE,서버/백엔드 개발자,9,7,15,과장,5-10년,2025-08,2025-08-26,1,0.5
Python,인공지능/머신러닝,2,1,3,사원,1-3년,2025-08,2025-08-30,1,1
Oracle,서버/백엔드 개발자,6,5,10,대리,5-10년,2025-09,2025-09-01,1,1
MES,SW/솔루션,4,3,5,대리,3-5년,2025-09,2025-09-01,1,1
Node.js,빅데이터 엔지니어,11,10,12,과장,10년+,2025-08,2025-08-31,1,1
Argo,서버/백엔드 개발자,9,8,12,과장,5-10년,2025-08,2025-08-30,1,0.5
MicrosoftSQLServer,기술지원,7,5,15,과장,5-10년,2025-09,2025-09-06,1,1
Infra,웹 풀스택 개발자,5,3,15,대리,3-5년,2025-09,2025-09-01,1,0.5
Splunk,정보보안 담당자,5,3,20,대리,3-5년,2025-09,2025-09-01,1,1
IPS,서버/백엔드 개발자,5,3,10,대리,3-5년,2025-09,2025-09-01,1,0.5
TCP/IP,DevOps/시스템 엔지니어,11,10,15,과장,10년+,2025-09,2025-09-01,1,1
Oracle,서버/백엔드 개발자,11,10,12,과장,10년+,2025-09,2025-09-02,1,1
Node.js,서버/백엔드 개발자,6,4,15,대리,5-10년,2025-09,2025-09-02,2,2
C,HW/임베디드,0,0,0,신입,신입,2025-09,2025-09-03,2,1.3333333333333333
Jenkins,서버/백엔드 개발자,9,7,20,과장,5-10년,2025-09,2025-09-07,1,0.3333333333333333
PLC,HW/임베디드,11,10,14,과장,10년+,2025-09,2025-09-06,1,1
TypeScript,서버/백엔드 개발자,6,5,10,대리,5-10년,2025-09,2025-09-06,1,1
JavaScript,프론트엔드 개발자,7,5,20,과장,5-10년,2025-09,2025-09-09,1,1
C++,HW/임베디드,11,9,12,과장,10년+,2025-09,2025-09-08,1,0.5
AWS,서버/백엔드 개발자,4,3,7,대리,3-5년,2025-08,2025-08-25,1,1
Git,SW/솔루션,2,1,2,사원,1-3년,2025-09,2025-09-04,1,1
MVVM,안드로이드 개발자,7,5,20,과장,5-10년,2025-09,2025-09-04,1,0.2
Windows,SW/솔루션,0,0,0,신입,신입,2025-08,2025-08-13,2,1.5
C++,SW/솔루션,5,3,10,대리,3-5년,2025-08,2025-08-11,1,1
OpenCV,SW/솔루션,5,3,15,대리,3-5년,2025-08,2025-08-11,1,1
InfluxDB,SW/솔루션,5,3,12,대리,3-5년,2025-08,2025-08-13,1,1
React,인공지능/머신러닝,4,2,10,대리,3-5년,2025-08,2025-08-13,1,1
MachineLearning,SW/솔루션,12,10,13,과장,10년+,2025-08,2025-08-13,1,1
PyTorch,인공지능/머신러닝,4,3,5,대리,3-5년,2025-08,2025-08-15,1,1
Python,DevOps/시스템 엔지니어,7,5,18,과장,5-10년,2025-08,2025-08-14,2,1
Jira,SW/솔루션,8,6,9,과장,5-10년,2025-08,2025-08-18,1,1
React,서버/백엔드 개발자,8,6,12,과장,5-10년,2025-08,2025-08-19,1,1
Docker,빅데이터 엔지니어,5,3,10,대리,3-5년,2025-08,2025-08-20,1,1
SpringBoot,서버/백엔드 개발자,5,3,10,대리,3-5년,2025-08,2025-08-19,1,0.5
MySQL,웹 풀스택 개발자,4,2,10,대리,3-5년,2025-08,2025-08-19,1,0.3333333333333333
C++,웹 풀스택 개발자,7,5,20,과장,5-10년,2025-08,2025-08-19,1,0.3333333333333333
Spark,인공지능/머신러닝,5,3,20,대리,3-5년,2025-08,2025-08-19,1,1
Docker,SW/솔루션,0,0,0,신입,신입,2025-08,2025-08-20,1,0.5
MongoDB,SW/솔루션,9,7,15,과장,5-10년,2025-08,2025-08-26,1,0.5
FPGA,SW/솔루션,5,3,15,대리,3-5년,2025-08,2025-08-27,2,1
C,DevOps/시스템 엔지니어,7,5,8,과장,5-10년,2025-08,2025-08-27,1,1
Golang,DevOps/시스템 엔지니어,6,5,10,대리,5-10년,2025-09,2025-09-01,1,0.5
GCP,서버/백엔드 개발자,5,3,15,대리,3-5년,2025-09,2025-09-01,1,0.5
Linux,서버/백엔드 개발자,5,3,6,대리,3-5년,2025-09,2025-09-01,1,1
GCP,DevOps/시스템 엔지니어,4,3,5,대리,3-5년,2025-09,2025-09-01,1,0.5
ES6,서버/백엔드 개발자,6,4,15,대리,5-10년,2025-09,2025-09-02,2,2
Git,게임 클라이언트 개발자,5,3,10,대리,3-5년,2025-09,2025-09-02,1,0.5
DeepLearning,인공지능/머신러닝,5,3,20,대리,3-5년,2025-09,2025-09-02,1,0.5
MachineLearning,인공지능/머신러닝,4,2,10,대리,3-5년,2025-09,2025-09-02,3,3
C,HW/임베디드,2,1,5,사원,1-3년,2025-09,2025-09-03,2,1.3333333333333333
SQL,서버/백엔드 개발자,3,2,7,사원,1-3년,2025-09,2025-09-03,1,0.3333333333333333
SwiftUI,웹 풀스택 개발자,3,1,10,사원,1-3년,2025-09,2025-09-06,1,0.5
ReactCanvas,서버/백엔드 개발자,4,3,5,대리,3-5년,2025-09,2025-09-04,1,1
FPGA,HW/임베디드,12,11,15,과장,10년+,2025-09,2025-09-08,1,1
MES,HW/임베디드,11,10,14,과장,10년+,2025-09,2025-09-06,1,1
GCP,프론트엔드 개발자,4,2,10,대리,3-5년,2025-09,2025-09-06,1,1
SpringBoot,서버/백엔드 개발자,4,3,7,대리,3-5년,2025-09,2025-09-09,1,0.5
Docker,서버/백엔드 개발자,9,7,15,과장,5-10년,2025-09,2025-09-08,1,1
Python,SW/솔루션,0,0,0,신입,신입,2025-09,2025-09-09,1,0.5
C,SW/솔루션,14,13,15,차장,10년+,2025-08,2025-08-13,1,1
Node.js,서버/백엔드 개발자,5,3,10,대리,3-5년,2025-08,2025-08-12,2,1.5
C++,DevOps/시스템 엔지니어,6,5,10,대리,5-10년,2025-08,2025-08-12,1,1
PHP,서버/백엔드 개발자,6,5,10,대리,5-10년,2025-08,2025-08-13,1,1
AzureAppService,SW/솔루션,5,3,12,대리,3-5년,2025-08,2025-08-13,1,1
QA,QA 엔지니어,7,6,10,과장,5-10년,2025-08,2025-08-13,1,1
MachineLearning,SW/솔루션,0,0,0,신입,신입,2025-08,2025-08-18,1,0.5
Eclipse,DevOps/시스템 엔지니어,9,7,10,과장,5-10년,2025-08,2025-08-18,1,1
OpenCV,SW/솔루션,5,3,10,대리,3-5년,2025-08,2025-08-20,1,1
PostgreSQL,SW/솔루션,5,3,15,대리,3-5년,2025-08,2025-08-20,1,0.5
Windows,SW/솔루션,9,7,10,과장,5-10년,2025-08,2025-08-30,1,1
jQuery,웹퍼블리셔,4,2,5,대리,3-5년,2025-09,2025-09-01,1,1
AI/인공지능,인공지능/머신러닝,5,3,6,대리,3-5년,2025-08,2025-08-27,1,1
JavaScript,SW/솔루션,9,7,15,과장,5-10년,2025-08,2025-08-27,1,1
Python,서버/백엔드 개발자,4,3,7,대리,3-5년,2025-09,2025-09-01,1,0.5
Infra,정보보안 담당자,3,2,4,사원,1-3년,2025-08,2025-08-29,1,1
Fusion360,HW/임베디드,5,3,10,대리,3-5년,2025-08,2025-08-30,1,1
PostgreSQL,서버/백엔드 개발자,9,8,12,과장,5-10년,2025-08,2025-08-30,1,0.5
Docker,SW/솔루션,5,3,6,대리,3-5년,2025-09,2025-09-01,1,0.5
AZURE,DevOps/시스템 엔지니어,5,3,15,대리,3-5년,2025-09,2025-09-01,1,1
GitHub,서버/백엔드 개발자,3,2,4,사원,1-3년,2025-09,2025-09-01,1,1
CISSP,DevOps/시스템 엔지니어,11,9,15,과장,10년+,2025-09,2025-09-01,1,1
L2,기술지원,9,7,10,과장,5-10년,2025-09,2025-09-01,1,0.5
Git,서버/백엔드 개발자,5,3,15,대리,3-5년,2025-09,2025-09-01,1,1
C++,HW/임베디드,9,8,10,과장,5-10년,2025-09,2025-09-03,2,1.3333333333333333
C++,SW/솔루션,12,10,20,과장,10년+,2025-09,2025-09-05,1,0.5
Nft,웹 풀스택 개발자,3,1,10,사원,1-3년,2025-09,2025-09-05,1,0.5
AZURE,DevOps/시스템 엔지니어,5,3,6,대리,3-5년,2025-08,2025-08-13,1,0.5
MySQL,서버/백엔드 개발자,7,5,20,과장,5-10년,2025-08,2025-08-17,1,1
RESTAPI,서버/백엔드 개발자,9,8,10,과장,5-10년,2025-08,2025-08-16,1,1
Remix,프론트엔드 개발자,6,5,10,대리,5-10년,2025-08,2025-08-13,1,1
VPN,DevOps/시스템 엔지니어,3,1,10,사원,1-3년,2025-08,2025-08-17,1,0.5
Autocad,HW/임베디드,0,0,0,신입,신입,2025-08,2025-08-19,1,0.5
Oracle,DevOps/시스템 엔지니어,6,4,7,대리,5-10년,2025-08,2025-08-18,1,1
RESTAPI,프론트엔드 개발자,4,3,5,대리,3-5년,2025-08,2025-08-18,1,1
Docker,인공지능/머신러닝,5,3,20,대리,3-5년,2025-08,2025-08-19,2,2
MES,DevOps/시스템 엔지니어,4,3,5,대리,3-5년,2025-08,2025-08-19,1,1
VPN,DevOps/시스템 엔지니어,11,10,15,과장,10년+,2025-08,2025-08-22,1,0.5
HALCON,인공지능/머신러닝,5,3,10,대리,3-5년,2025-08,2025-08-22,1,1
TensorFlow,빅데이터 엔지니어,0,0,0,신입,신입,2025-08,2025-08-21,1,1
C,SW/솔루션,5,4,6,대리,3-5년,2025-08,2025-08-25,2,1.5
Bootsnap,HW/임베디드,6,5,7,대리,5-10년,2025-08,2025-08-24,1,1
MicrosoftSQLServer,SW/솔루션,4,3,8,대리,3-5년,2025-08,2025-08-22,6,6
DjangoRESTframework,서버/백엔드 개발자,9,8,12,과장,5-10년,2025-09,2025-09-01,1,0.5
Golang,DevOps/시스템 엔지니어,17,16,20,부장,10년+,2025-09,2025-09-01,1,0.5
Jenkins,SW/솔루션,4,3,5,대리,3-5년,2025-09,2025-09-01,1,1
Tableau,빅데이터 엔지니어,6,5,7,대리,5-10년,2025-08,2025-08-31,1,1
Next.js,프론트엔드 개발자,4,3,4,대리,3-5년,2025-08,2025-08-31,1,1
Vite,프론트엔드 개발자,5,3,6,대리,3-5년,2025-08,2025-08-31,1,1
EmbeddedLinux,HW/임베디드,9,7,15,과장,5-10년,2025-09,2025-09-02,1,1
Oracle,기술지원,4,3,5,대리,3-5년,2025-09,2025-09-02,1,1
