posting_title,company_name,posting_id,is_closed,posting_bookmarks_total,posting_views_total,homepage_visits_total,experience,education,employment_type,salary,position,working_hours,work_location,start_datetime,end_datetime,application_method,application_format,applicants_total,applicants_by_exp_new,applicants_by_exp_less_than_1yr,applicants_by_exp_1_3yrs,applicants_by_exp_3_5yrs,applicants_by_exp_over_5yrs,applicants_by_salary_2200_2600,applicants_by_salary_2600_3000,applicants_by_salary_3000_4000,applicants_by_salary_over_4000,applicants_by_gender_total,applicants_by_gender_male,applicants_by_gender_female,applicants_by_gender_ratio_male,applicants_by_gender_ratio_female,applicants_by_age_20s,applicants_by_age_30s,applicants_by_age_40s,applicants_by_age_50s,applicants_by_age_over_60s,applicants_by_education_highschool_or_less,applicants_by_education_associates,applicants_by_education_bachelors,applicants_by_education_masters,applicants_by_education_phd,applicants_submitted_portfolio_json,saramin_posting_collection_time,company_url_saramin
3D Scanning Application 개발(for iPad),(주)메디트,51746001,False,1,39,,경력 1~10년,대졸(4년제) 이상,정규직,회사내규에 따름,"","","서울 영등포구, 서울전체",2025.09.06 00:00,2025.10.05 23:59,사람인 입사지원,"제출서류 이력서, 자기소개서",,,,,,,,,,,,,,,,,,,,,,,,,,"",2025-09-11 01:02:20+00,https://www.saramin.co.kr/zf_user/company-info/view?csn=WGFNTEVDWXBpWDY5MDJEWDVuZ0VRUT09&popup_yn=y
AI Artist / Software Engineer / Full Stack,(주)블루개러지,51704621,False,,38,,경력 3~15년,학력무관,정규직,면접 후 결정,"",주 5일(월~금),서울 강동구,2025.09.01 00:00,2025.09.30 23:59,사람인 입사지원,"",2,0,0,0,1,1,,,,,2,1,0,100,0,1,1,0,0,0,0,0,1,1,0,"{'"경력기술서'": 1, '"포트폴리오'": 1, '"미첨부'": 1}",2025-09-11 01:02:26+00,https://www.saramin.co.kr/zf_user/company-info/view?csn=ZDgyeUcwaEtza2VRZm1MUTUzTXdZZz09&popup_yn=y
Backend 개발자,스마트푸드네트웍스(주),51768990,False,7,114,,경력 5~15년,학력무관,정규직,회사내규에 따름,"","",서울 강남구,2025.09.08 00:00,2025.10.07 23:59,사람인 입사지원,"제출서류 이력서, 자기소개서",25,4,1,2,7,11,0,0,0,6,25,19,1,95,5,6,14,3,1,1,1,3,17,4,0,"{'"포트폴리오'": 8, '"이력서'": 4, '"기타'": 4, '"경력기술서'": 2, '"증명서'": 2, '"미첨부'": 12}",2025-09-11 01:02:34+00,https://www.saramin.co.kr/zf_user/company-info/view?csn=cDJ1Nmo1b3E2dG5XL1JTdEdaRnpvUT09&popup_yn=y
백엔드 경력 채용 (6~9년),텐빌리언,51583665,False,,170,,경력 6~9년,대졸(4년제) 이상,정규직,면접 후 결정,"","",서울 구로구,2025.08.18 00:00,2025.09.16 23:59,"사람인 입사지원, 점핏에서 지원","제출서류 이력서, 자기소개서",2,0,0,0,0,2,,,,,2,2,0,100,0,0,2,0,0,0,0,0,2,0,0,"",2025-09-11 01:02:42+00,https://www.saramin.co.kr/zf_user/company-info/view?csn=L0hpd0VJUEQxZ0taNlM1UGVjWktHdz09&popup_yn=y
안드로이드개발자(8년↑),(주)고스트패스,51744578,False,3,45,,경력 8~10년,대졸(4년제) 이상,"정규직, 계약직 근무형태 상세보기 정규직 수습기간 3개월 닫기 근무형태 상세 설명",회사내규에 따름,"","",서울 영등포구,2025.09.04 00:00,2025.10.03 23:59,"","제출서류 이력서, 자기소개서",,,,,,,,,,,,,,,,,,,,,,,,,,"",2025-09-11 01:02:51+00,""
시니어 백엔드 개발자(5년 이상),(주)더스윙,51692814,False,6,140,,경력 5~15년,대졸(4년제) 이상,정규직 수습기간 3개월,회사내규에 따름,"","",서울 용산구,2025.08.29 00:00,2025.09.27 23:59,사람인 입사지원,제출서류 사람인 입사지원서,28,3,0,0,2,23,0,1,0,6,28,17,3,85,15,2,14,10,2,0,0,4,22,2,0,"{'"포트폴리오'": 9, '"이력서'": 2, '"경력기술서'": 2, '"기타'": 2, '"미첨부'": 14}",2025-09-11 01:02:59+00,https://www.saramin.co.kr/zf_user/company-info/view?csn=NlB3L3FmcGZvdnVMUHQwYnh4MDVVZz09&popup_yn=y
백엔드 엔지니어,(주)스패로우,51706467,False,8,206,,경력 5~10년,대졸(4년제) 이상,정규직,회사내규에 따름,"","","서울 마포구, 서울전체",2025.09.02 00:00,2025.10.01 23:59,사람인 입사지원,"제출서류 이력서, 자기소개서",34,10,0,8,5,11,0,1,3,5,34,24,5,83,17,14,15,0,3,1,3,4,24,3,0,"{'"이력서'": 11, '"미첨부'": 9, '"경력기술서'": 6, '"증명서'": 3, '"기타'": 3, '"포트폴리오'": 18}",2025-09-11 01:03:08+00,https://www.saramin.co.kr/zf_user/company-info/view?csn=c21SN1FkbkJHU3VCQzVRU2ZPakpmZz09&popup_yn=y
이커머스 풀스택 팀장 앱·웹 채용,(주)펫박스,51582406,False,8,257,,경력 8~15년,대졸(4년제) 이상,정규직,회사내규에 따름,"","","서울 마포구, 서울전체",2025.08.18 00:00,2025.09.16 23:59,사람인 입사지원,"제출서류 이력서, 자기소개서",32,4,1,2,3,22,0,0,0,8,32,23,4,85,15,6,7,10,7,1,2,5,20,5,0,"{'"포트폴리오'": 10, '"이력서'": 7, '"경력기술서'": 4, '"증명서'": 4, '"기타'": 4, '"자격증'": 1, '"기획서'": 1, '"동영상'": 1, '"미첨부'": 12}",2025-09-11 01:03:16+00,""
JAVA 개발자 채용,(주)소프트넷,51781050,False,5,102,,경력 3~10년,"대졸(2,3년제) 이상",정규직,회사내규에 따름,"","",서울 강남구,2025.09.09 00:00,2025.10.08 23:59,사람인 입사지원,"제출서류 이력서, 자기소개서",22,6,1,6,7,2,0,1,2,3,22,11,6,65,35,11,10,1,0,0,1,6,15,0,0,"{'"미첨부'": 7, '"이력서'": 6, '"기타'": 4, '"경력기술서'": 2, '"자격증'": 1, '"증명서'": 1, '"동영상'": 1, '"포트폴리오'": 11}",2025-09-11 01:03:25+00,https://www.saramin.co.kr/zf_user/company-info/view?csn=ejIweFVmVG5ZSDlyTDJRNTArcVg4UT09&popup_yn=y
