company_name,company_keywords_jumpit,active_positions,years_in_business,founded_year,address,homepage_url,company_tech_stack,company_benefits,company_url_jumpit,jumpit_company_collection_time
고스트패스,"['"급성장중'", '"점심지원'"]",6,7 년차 ( 2019년 설립 ),2019,"광주광역시 북구 첨단과기로 123, 창업진흥센터A동 320-1호","https://m.map.naver.com/search2/search.nhn?query=광주광역시 북구 첨단과기로 123, 창업진흥센터A동 320-1호#/map","REST API, Java, Git, MVVM, .NET, Spring, Jira, AWS","주 1~2회 재택근무 가능
버추얼팀 구축 - 장소에 관계없이 소통/미팅이 가능한 환경 구축
자유로운 휴가 사용
역할과 책임 (Roles & Responsibility) 중심 조직 - 수평조직",https://jumpit.saramin.co.kr/company/NDExODYwMTY2OA==?company_nm=고스트패스,2025-09-09 16:34:19
오픈엣지테크놀로지,"['"2호선 역세권 기업'", '"점심지원'"]",12,9 년차 ( 2017년 설립 ),2017,"서울 강남구 역삼로 114, 13층","https://m.map.naver.com/search2/search.nhn?query=서울 강남구 역삼로 114, 13층#/map","C++, C, EDA, PyTorch, Linux, JavaScript, Verilog, ES6, Perl, Python, TensorFlow","• 업무 방식: 자율 출퇴근 (선택적 근로시간제), 자율적 업무 환경, 수평적 조직 문화 (영어 닉네임 사용)
• 근무 환경: 중식비 지원, 간식 및 음료 무한 제공, IT 바우처 지급
• 건강 관리: 단체 상해보험 가입, 의료비 지원, 종합 건강검진
• 자기계발: 도서 (업무/개인) 구입비 지원, 영어 학습비 지원
• 기타: 경조사 지원 (경조 휴가, 경조금, 상조 서비스 등), 명절 선물 지급, 생일 반차 제공",https://jumpit.saramin.co.kr/company/NDI4ODEwMTAwMg==?company_nm=오픈엣지테크놀로지,2025-09-09 16:34:22
유아이엠디,"['"급성장중'", '"매출액 150% 급성장'", '"재택근무'", '"5호선 역세권 기업'", '"점심지원'", '"매출액 20% 지속성장'"]",1,11 년차 ( 2015년 3월 설립 ),2015,"서울 마포구 만리재로 15, 703호 (공덕동,제일빌딩)","https://m.map.naver.com/search2/search.nhn?query=서울 마포구 만리재로 15, 703호 (공덕동,제일빌딩)#/map","AI/인공지능, C++, C, PyTorch, SW, OpenCV, DeepLearning, Python, TensorFlow",,https://jumpit.saramin.co.kr/company/NDIxODEwMDA2OQ==?company_nm=유아이엠디,2025-09-09 16:34:24
파인더갭,[],1,4 년차 ( 2022년 설립 ),2022,서울 강남구 역삼로 160,https://m.map.naver.com/search2/search.nhn?query=서울 강남구 역삼로 160#/map,"CSS 3, Cloud Foundry, GitHub, WebAssembly, Node.js, CISA, Bugcrowd, JSON-RPC, TypeScript, Solidity, JavaScript, SQLite, CISSP, Embedded, ARM","💵 급여제도 : 퇴직연금, 성과급, 4대 보험
✍️ 교육/생활 : 도서구입비 지원, 구내식당 운영, 음료 제공
💻 근무 환경 : 회의실, 휴게실, 노트북, 사무용품 지급
🚗 출퇴근 : 시차출퇴근제
😊 조직문화 : 자유로운 복장, 야근강요 안함, 수평적 조직문화(영어이름)
🏖️ 리프레시 : 자유로운 연차, 경조휴가제, 반차, 근로자의 날 휴무, 포상휴가 등
🏆 선물 : 장기근속 선물, 생일선물",https://jumpit.saramin.co.kr/company/NDIxODgwMjQwNw==?company_nm=파인더갭,2025-09-09 16:34:27
글로벌시스템스,"['"자유로운 연차'", '"프리한 복장'", '"점심지원'"]",3,11 년차 ( 2015년 4월 설립 ),2015,대전 유성구 유성대로1205번길 10,https://m.map.naver.com/search2/search.nhn?query=대전 유성구 유성대로1205번길 10#/map,"yolo, AI/인공지능, C++, PyTorch, C, DeepLearning, PyQt, Python",,https://jumpit.saramin.co.kr/company/NDM5ODcwMDA1OA==?company_nm=글로벌시스템스,2025-09-09 16:34:28
슈프리마,"['"주거복지'", '"슈프리마에이치큐 계열사'", '"코스닥'", '"수인분당선 역세권 기업'"]",2,11 년차 ( 2015년 12월 설립 ),2015,"경기 성남시 분당구 정자일로 248, 17층 5호","https://m.map.naver.com/search2/search.nhn?query=경기 성남시 분당구 정자일로 248, 17층 5호#/map","RTOS, C++, C, Embedded Linux, Embedded, ARM, Android OS","• 4.5일제 (금요일 4시간 근무)
• 이주비 100만원 지원 (오피스 근방 이주시)
• 생활안정자금 매월 30만원 지원 (오피스 근방 이주시 2년간)
• 청년 내일채움공제 지원
• 자기계발비 최대 연 180만원 지원
• 사내 어학 아카데미 운영
• 休프리마 심리상담 지원
• 리조트 지원",https://jumpit.saramin.co.kr/company/NDMxODcwMDM2OQ==?company_nm=슈프리마,2025-09-09 16:34:30
쏠리드윈텍,"['"매출액 500억 기업'", '"쏠리드 계열사'", '"수인분당선 역세권 기업'", '"평균연봉 6,000 이상'"]",1,11 년차 ( 2015년 7월 설립 ),2015,"경기 용인시 기흥구 기흥로 58-1 A동 25층 (구갈동, 기흥ICT밸리 SK V1)","https://m.map.naver.com/search2/search.nhn?query=경기 용인시 기흥구 기흥로 58-1 A동 25층 (구갈동, 기흥ICT밸리 SK V1)#/map",FPGA,,https://jumpit.saramin.co.kr/company/NDQ4ODgwMDEyMg==?company_nm=쏠리드윈텍,2025-09-09 16:34:32
팀블랙버드,"['"평균연봉 상위 10%'", '"육아휴직'", '"급성장중'", '"2호선 역세권 기업'", '"시리즈A 투자유치'", '"평균연봉 7,000 이상'"]",1,8 년차 ( 2018년 9월 설립 ),2018,"서울 영등포구 국회대로 612, 10층","https://m.map.naver.com/search2/search.nhn?query=서울 영등포구 국회대로 612, 10층#/map","Matplotlib, Google Analytics, Blockchain, GraphQL, NumPy, SQL, ethernet, Git, Google BigQuery, Jupyter, Amazon Athena, DataTables, Python",,https://jumpit.saramin.co.kr/company/NDUxODcwMTI2NQ==?company_nm=팀블랙버드,2025-09-09 16:34:35
페이타랩,"['"시리즈B 투자유치'", '"스타트업'", '"급성장중'"]",7,8 년차 ( 2018년 2월 설립 ),2018,"서울시 강남구 영동대로 85길 34, 6층","https://m.map.naver.com/search2/search.nhn?query=서울시 강남구 영동대로 85길 34, 6층#/map","C#, AngularJS, Firebase, Java, C++, Sass, Visual Studio, Windows, iOS, WPF, Jenkins, QA, Git, Docker, Slack, NGINX, JavaScript, .NET, Swift, Zeplin, AWS, Android OS, Python","【저희는 이렇게 일해요!】

1. 그냥 하는 일은 없어요. 스스로 업무를 할 때 ''왜?''를 항상 생각해요.
2. 완벽한 결과물은 없다고 생각해요. 빠르게 실행해 보고 아니면 개선해 나가요.
3. 하나의 팀으로 연결되어 있어요. 사내의 모든 정보는 투명하게 공유하고 있어요.
4. 스포츠팀처럼 일해요. 각자의 포지션에서 최고가 되기 위해 끊임없이 성장해요. 
5. 개인의 성장을 지지해요. 누구나 원하는 만큼 성장할 수 있도록 회사가 지원을 아끼지 않아요.
6. 직책 및 연차와 상관없이 모든 구성원이 자유롭게 소통하고 대단하게 피드백을 주고받아요.
