경력,비율
신입,29.48
1년,10.86
2년,10.41
3년,9.55
4년,6.15
5년,5.29
6년,3.71
7년,2.89
8년,2.57
9년,1.89
10년,1.81
11년,1.67
12년,1.57
13년,1.28
14년,1.12
15년,1.16
16년,1.03
17년,0.82
18년,0.81
19년,0.59
20년 이상,5.33
