행정구역명,경제활동인구 (천명),시도명,시군구명,lat,lon,closest_sidos,closest_sigungu
강원특별자치도 속초시,45,강원특별자치도,속초시,38.2069574,128.5913424,경기도;서울특별시,강원특별자치도 양양군;강원특별자치도 고성군;강원특별자치도 인제군;강원특별자치도 양구군;강원특별자치도 강릉시
강원특별자치도 삼척시,36,강원특별자치도,삼척시,37.4498745,129.1652969,경상북도;충청북도,강원특별자치도 동해시;강원특별자치도 태백시;강원특별자치도 강릉시;강원특별자치도 정선군;경상북도 울진군
강원특별자치도 홍천군,41,강원특별자치도,홍천군,37.6967,127.8888,경기도;서울특별시,강원특별자치도 횡성군;강원특별자치도 춘천시;경기도 가평군;강원특별자치도 원주시;경기도 양평군
강원특별자치도 횡성군,28,강원특별자치도,횡성군,37.4916,127.985,경기도;충청북도,강원특별자치도 원주시;강원특별자치도 홍천군;경기도 여주시;강원특별자치도 평창군;충청북도 제천시
강원특별자치도 영월군,23,강원특별자치도,영월군,37.1834983,128.4619814,충청북도;경상북도,강원특별자치도 평창군;충청북도 단양군;충청북도 제천시;강원특별자치도 정선군;경상북도 봉화군
강원특별자치도 평창군,27,강원특별자치도,평창군,37.3705,128.3903,충청북도;경기도,강원특별자치도 영월군;강원특별자치도 정선군;충청북도 제천시;강원특별자치도 횡성군;강원특별자치도 원주시
강원특별자치도 정선군,22,강원특별자치도,정선군,37.380456,128.6609485,충청북도;경상북도,강원특별자치도 평창군;강원특별자치도 영월군;강원특별자치도 태백시;강원특별자치도 동해시;강원특별자치도 삼척시
강원특별자치도 철원군,21,강원특별자치도,철원군,38.1468023,127.3133,서울특별시;경기도,경기도 연천군;경기도 포천시;강원특별자치도 화천군;경기도 동두천시;경기도 가평군
강원특별자치도 화천군,12,강원특별자치도,화천군,38.1063,127.708,서울특별시;경기도,강원특별자치도 양구군;강원특별자치도 춘천시;강원특별자치도 철원군;경기도 가평군;강원특별자치도 인제군
강원특별자치도 양구군,11,강원특별자치도,양구군,38.1096812,127.9900596,경기도;서울특별시,강원특별자치도 인제군;강원특별자치도 화천군;강원특별자치도 춘천시;강원특별자치도 홍천군;강원특별자치도 고성군
강원특별자치도 인제군,17,강원특별자치도,인제군,38.0694,128.1706,경기도;서울특별시,강원특별자치도 양구군;강원특별자치도 양양군;강원특별자치도 속초시;강원특별자치도 화천군;강원특별자치도 고성군
강원특별자치도 고성군,19,강원특별자치도,고성군,38.3808,128.4678,경기도;서울특별시,강원특별자치도 속초시;강원특별자치도 양양군;강원특별자치도 인제군;강원특별자치도 양구군;강원특별자치도 화천군
강원특별자치도 양양군,17,강원특별자치도,양양군,38.0751,128.6191,경기도;서울특별시,강원특별자치도 속초시;강원특별자치도 고성군;강원특별자치도 인제군;강원특별자치도 강릉시;강원특별자치도 양구군
충청북도 청주시,511,충청북도,청주시,36.6421169,127.4891742,대전광역시;충청남도,충청북도 증평군;충청북도 진천군;충청북도 보은군;충청북도 괴산군;대전광역시 서구
충청북도 충주시,123,충청북도,충주시,36.9907334,127.9259891,대전광역시;강원특별자치도,충청북도 음성군;충청북도 괴산군;충청북도 제천시;충청북도 증평군;강원특별자치도 원주시
충청북도 제천시,78,충청북도,제천시,37.1326042,128.1913508,강원특별자치도;경상북도,충청북도 단양군;강원특별자치도 영월군;충청북도 충주시;강원특별자치도 평창군;강원특별자치도 원주시
충청북도 보은군,19,충청북도,보은군,36.4890118,127.729242,대전광역시;충청남도,충청북도 옥천군;충청북도 청주시;대전광역시 동구;대전광역시 대덕구;대전광역시 중구
충청북도 옥천군,30,충청북도,옥천군,36.3061692,127.571482,대전광역시;충청남도,대전광역시 동구;대전광역시 중구;대전광역시 대덕구;대전광역시 서구;대전광역시 유성구
충청북도 영동군,28,충청북도,영동군,36.1747588,127.7834432,대전광역시;대구광역시,전북특별자치도 무주군;충청북도 옥천군;충청남도 금산군;경상북도 김천시;대전광역시 동구
충청북도 진천군,61,충청북도,진천군,36.855461,127.4353927,대전광역시;충청남도,충청북도 증평군;경기도 안성시;충청북도 청주시;충청북도 음성군;충청남도 천안시
충청북도 괴산군,22,충청북도,괴산군,36.815,127.7866,대전광역시;충청남도,충청북도 음성군;충청북도 증평군;충청북도 충주시;충청북도 진천군;충청북도 청주시
충청북도 음성군,71,충청북도,음성군,36.94,127.6906,대전광역시;경기도,충청북도 괴산군;충청북도 증평군;충청북도 충주시;충청북도 진천군;경기도 안성시
충청북도 단양군,16,충청북도,단양군,36.9848,128.3659,경상북도;강원특별자치도,충청북도 제천시;강원특별자치도 영월군;경상북도 영주시;경상북도 봉화군;경상북도 예천군
충청북도 증평군,22,충청북도,증평군,36.785213,127.5818159,대전광역시;충청남도,충청북도 진천군;충청북도 청주시;충청북도 괴산군;충청북도 음성군;경기도 안성시
충청남도 천안시,401,충청남도,천안시,36.8150283,127.1140654,대전광역시;충청북도,충청남도 아산시;경기도 평택시;충청남도 예산군;충청북도 진천군;경기도 안성시
충청남도 공주시,59,충청남도,공주시,36.47257,127.09124,대전광역시;충청북도,충청남도 청양군;충청남도 계룡시;대전광역시 유성구;충청남도 부여군;대전광역시 서구
충청남도 보령시,57,충청남도,보령시,36.33401,126.613165,대전광역시;전북특별자치도,충청남도 청양군;충청남도 부여군;충청남도 서천군;충청남도 홍성군;전북특별자치도 군산시
충청남도 아산시,232,충청남도,아산시,36.7899498,127.0026769,대전광역시;충청북도,충청남도 천안시;충청남도 예산군;경기도 평택시;충청남도 당진시;충청남도 공주시
충청남도 서산시,106,충청남도,서산시,36.784499,126.450317,인천광역시;경기도,충청남도 태안군;충청남도 당진시;충청남도 홍성군;충청남도 예산군;충청남도 청양군
